away_era,away_whip,home_era,home_whip,away_ops,home_ops,home_adv,y
3.79,1.21,4.15,1.24,0.704,0.851,1.0,0
4.79,1.46,6.75,1.35,0.759,0.901,1.0,0
2.43,1.19,4.4,1.33,0.704,0.851,1.0,1
5.25,1.44,3.83,1.32,0.796,0.74,1.0,1
5.58,1.6,4.87,1.31,0.796,0.74,1.0,1
4.73,1.39,4.25,1.25,0.796,0.74,1.0,1
3.2,1.24,4.03,1.49,0.783,0.767,1.0,0
3.97,1.07,4.07,1.46,0.783,0.767,1.0,0
5.85,1.38,5.6,1.51,0.759,0.881,1.0,0
6.04,1.18,7.2,1.93,0.759,0.881,1.0,1
2.84,1.32,4.92,1.73,0.827,0.887,1.0,0
6.47,1.81,4.23,1.3,0.827,0.887,1.0,1
5.3,1.25,2.2,1.06,0.74,0.727,1.0,1
4.25,1.42,3.34,1.08,0.744,0.736,1.0,1
5.3,1.49,5.7,1.4,0.744,0.736,1.0,1
6.52,1.66,5.09,1.53,0.744,0.736,1.0,0
5.61,1.44,5.53,1.43,0.727,0.768,1.0,1
6.19,1.67,3.0,1.0,0.727,0.768,1.0,0
4.19,1.5,4.75,1.51,0.901,0.824,1.0,1
5.86,1.64,6.15,1.63,0.851,0.824,1.0,0
4.03,1.49,5.61,1.44,0.767,0.727,1.0,0
4.4,1.33,4.84,1.25,0.851,0.824,1.0,1
4.3,1.09,2.43,1.19,0.759,0.704,1.0,1
5.62,1.43,4.98,1.25,0.887,0.744,1.0,0
4.0,1.24,5.4,1.4,0.759,0.901,1.0,0
4.25,1.42,5.27,1.55,0.744,0.824,1.0,0
3.49,1.24,4.17,1.27,0.736,0.704,1.0,1
5.16,1.61,6.39,1.89,0.887,0.744,1.0,0
3.34,1.08,4.95,1.39,0.736,0.881,1.0,0
3.57,1.3,2.29,1.13,0.812,0.783,1.0,0
5.94,1.43,2.89,1.35,0.796,0.769,1.0,1
5.54,1.56,5.72,1.78,0.796,0.769,1.0,0
9.22,1.83,2.19,1.05,0.851,0.824,1.0,1
2.8,1.22,7.2,1.77,0.736,0.704,1.0,1
5.48,1.54,4.55,1.35,0.835,0.767,1.0,1
0.0,0.68,3.57,1.24,0.835,0.767,1.0,1
6.39,1.55,4.63,1.12,0.835,0.767,1.0,0
4.55,1.55,3.34,1.31,0.812,0.783,1.0,1
7.39,1.89,4.37,1.31,0.736,0.704,1.0,0
6.25,1.61,4.73,1.39,0.814,0.796,1.0,0
